pricePerUnit;brand;productType;identificationID;dimensions;title;quantityAvailable;mainImage;technicalSheetURL
15.4;Desso;Réemploi;GIZ2306009;50x50;Flow 9013;250;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/DESSO-MARRON-CYCLE-UP-avec-logo-1fzG.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/2e980b40-5227-423c-ac34-14d9a9b4e7fc.pdf
22.4;Desso;Réemploi;GIZ2307002;50x50;Wave 9502;170;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/wave-9502-orak-EGZa.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/9502-YbJK.pdf
25.2;Interface;Réemploi;GIZ2309007;50x50;Composure Solitude;180;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/INTERFACE-COMPOSURE-SOLITUDE-ORAK-niCZ.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/e72710c0-ec75-4d79-ad75-7340aca5ef40.pdf
15.4;Desso;Réemploi;GIZ2308004;50x50;Scape 3010;60;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/3010-logo-fuuo.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/a25382ea-0e7b-4475-9f03-13f593299406.pdf
28;Milliken;Réemploi;GIZ2310003;50x50;Urban Sketch OYSTER SHELL;78;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/Urban-Sketch-OYSTER-SHELL-logo-Bbqz.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/7d8dafff-fdc7-48f8-9899-2d3695128b21.pdf
23.1;Milliken;Réemploi;GIZ2306004;50x50;Formwork FWK94 Wainscot;25;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/Wainscot-logo-Zkvf.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/392a2eab-6bdd-4a6f-a2c3-a39cd2eb35d0.pdf
19.6;Balsan;Réemploi;GIZ2307020;50x50;Pilote 710;290;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/710-logo-eyXg.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/2d93f563-0079-46e3-83ea-279cdf275ec7.pdf
16.8;Balsan;Réemploi;GIZ2309010;50x50;Batik 970;95;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/970-logo-UoNx.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/2bed9039-1707-40b2-8b32-949940487461.pdf
16.8;Modulyss;Réemploi;GIZ2303004;50x50;Millennium Nxtgen 061;170;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/061-logo-MGbm.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/f7f3b948-fdee-47f8-85ca-686145fe368e.pdf
19.6;Tecsom;Réemploi;GIZ2310001;50x50;City Square 032;151;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/032-logo-N8Jz.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/94e49437-8fc8-4ab1-8848-8b4af08cb726.pdf
16.8;Balsan;Réemploi;GIZ2310005;50x50;Winter 185;119;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/185-logo-SSU6.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/a128e0e4-3cd9-4a0d-8f88-c096796c2344.pdf
19.6;Desso;Réemploi;GIZ2310007;50x50;Flow 9027;65;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/DESSO-CYCLE-UP-GRIS-CLAIR-AVEC-LOGO-KEZ3.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/c2190f37-ac8f-44e6-bb43-ea41f365ad51.pdf
19.6;Interface;Réemploi;GIZ2309001;50x50;New Horizons II 5589 Carbon;115;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/carbon-logo-qumu.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/b9b0d1c3-4ede-4cb8-9cb8-6d78ad382b58.pdf
25.2;Balsan;Réemploi;GIZ2305009;50x50;Stoneage 770;50;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/770-logo-e4An.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/355c15b3-23d6-4a1c-87a0-e77c2aac9fd7.pdf
15.4;Vorwerk;Réemploi;GIZ2307014;50x50;;95;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/Vorwerk-logo-A8Q4.png;
25.2;Interface;Réemploi;GIZ2311005;50x50;Composure Transcribe;85;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/transcribe-logo-EJQ7.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/674ceea8-a9ee-439f-828f-35d5d96dc1de.pdf
